:START_ID(Delivery),:END_ID(DeliveryItem),lineNumber
80738076,80738076:000010,000010
80738076,80738076:000020,000020
80738076,80738076:000030,000030
80738076,80738076:000040,000040
80738076,80738076:000050,000050
80738077,80738077:000010,000010
80738077,80738077:000020,000020
80738077,80738077:000030,000030
80738077,80738077:000040,000040
80738077,80738077:000050,000050
80738078,80738078:000010,000010
80738079,80738079:000010,000010
80738080,80738080:000010,000010
80738081,80738081:000010,000010
80738082,80738082:000010,000010
80738082,80738082:000020,000020
80738083,80738083:000010,000010
80738084,80738084:000010,000010
80738084,80738084:000020,000020
80738084,80738084:000030,000030
80738084,80738084:000040,000040
80738084,80738084:000050,000050
80738084,80738084:000060,000060
80738085,80738085:000010,000010
80738086,80738086:000010,000010
80738087,80738087:000010,000010
80738088,80738088:000010,000010
80738089,80738089:000010,000010
80738090,80738090:000010,000010
80738091,80738091:000010,000010
80738092,80738092:000010,000010
80738093,80738093:000010,000010
80738093,80738093:000020,000020
80738094,80738094:000010,000010
80738094,80738094:000020,000020
80738095,80738095:000010,000010
80738096,80738096:000010,000010
80738097,80738097:000010,000010
80738098,80738098:000010,000010
80738099,80738099:000010,000010
80738100,80738100:000010,000010
80738101,80738101:000010,000010
80738102,80738102:000010,000010
80738103,80738103:000010,000010
80738104,80738104:000010,000010
80738105,80738105:000010,000010
80738106,80738106:000010,000010
80738107,80738107:000010,000010
80738108,80738108:000010,000010
80738109,80738109:000010,000010
80738109,80738109:000020,000020
80738109,80738109:000030,000030
80738109,80738109:000040,000040
80738110,80738110:000010,000010
80738111,80738111:000010,000010
80738111,80738111:000020,000020
80738111,80738111:000030,000030
80738111,80738111:000040,000040
80737721,80737721:000010,000010
80737721,80737721:000020,000020
80737721,80737721:000030,000030
80737721,80737721:000040,000040
80737721,80737721:000050,000050
80737722,80737722:000010,000010
80737722,80737722:000020,000020
80737722,80737722:000030,000030
80737722,80737722:000040,000040
80737723,80737723:000010,000010
80737723,80737723:000020,000020
80737723,80737723:000030,000030
80737723,80737723:000040,000040
80737921,80737921:000010,000010
80737922,80737922:000010,000010
80738040,80738040:000010,000010
80738041,80738041:000010,000010
80738042,80738042:000010,000010
80738043,80738043:000010,000010
80738044,80738044:000010,000010
80738045,80738045:000010,000010
80738046,80738046:000010,000010
80738047,80738047:000010,000010
80738047,80738047:000020,000020
80738048,80738048:000010,000010
80738049,80738049:000010,000010
80738050,80738050:000010,000010
80738051,80738051:000010,000010
80738052,80738052:000010,000010
80738053,80738053:000010,000010
80738054,80738054:000010,000010
80738055,80738055:000010,000010
80738056,80738056:000010,000010
80738057,80738057:000010,000010
80738058,80738058:000010,000010
80738058,80738058:000020,000020
80738059,80738059:000010,000010
80738060,80738060:000010,000010
80738061,80738061:000010,000010
80738062,80738062:000010,000010
80738063,80738063:000010,000010
80738064,80738064:000010,000010
80738065,80738065:000010,000010
80738066,80738066:000010,000010
80738067,80738067:000010,000010
80738068,80738068:000010,000010
80738069,80738069:000010,000010
80738069,80738069:000020,000020
80738069,80738069:000030,000030
80738069,80738069:000040,000040
80738069,80738069:000050,000050
80738069,80738069:000060,000060
80738069,80738069:000070,000070
80738069,80738069:000080,000080
80738069,80738069:000090,000090
80738069,80738069:000100,000100
80738069,80738069:000110,000110
80738069,80738069:000120,000120
80738070,80738070:000010,000010
80738071,80738071:000010,000010
80738072,80738072:000010,000010
80738073,80738073:000010,000010
80738073,80738073:000020,000020
80738074,80738074:000010,000010
80738075,80738075:000010,000010
80738075,80738075:000020,000020
80738075,80738075:000030,000030
80754574,80754574:000010,000010
80754575,80754575:000010,000010
80754576,80754576:000010,000010
80754601,80754601:000010,000010
80754601,80754601:000020,000020
80754602,80754602:000010,000010
80754603,80754603:000010,000010
80754604,80754604:000010,000010
80754605,80754605:000010,000010
80754606,80754606:000010,000010
80754606,80754606:000020,000020
80754606,80754606:000030,000030
